period,observed,trend,seasonal,resid
2016-01,39.0,29.797886281538226,6.219135008148589,2.9829787103131835
2016-02,13.0,29.396327578752647,-14.901750321927674,-1.494577256824975
2016-03,16.0,29.005298661309382,-13.234297526062688,0.22899886475330788
2016-04,24.0,28.625386309413464,-5.483762255932114,0.8583759465186489
2016-05,27.0,28.257433992632777,0.5513970145258495,-1.808831007158627
2016-06,29.0,27.902360570387103,2.0767084035933885,-0.9790689739804925
2016-07,25.0,27.56234696523333,-4.323150516260101,1.7608035510267683
2016-08,26.0,27.2409513831394,-1.232242622733482,-0.008708760405919946
2016-09,37.0,26.942030334692788,11.262023278958507,-1.204053613651297
2016-10,32.0,26.66993833116279,6.107410984810134,-0.7773493159729234
2016-11,31.0,26.43132531409628,3.8083812519529716,0.7602934339507463
2016-12,32.0,26.240257636767975,7.368086136869855,-1.6083437736378308
2017-01,23.0,26.193174511416846,4.375761313084883,-7.568935824501729
2017-02,32.0,26.12207534222192,-11.801116267142069,17.67904092492015
2017-03,31.0,26.042621119862677,-13.440085972836458,18.39746485297378
2017-04,20.0,25.956696312357025,-4.082771895256477,-1.8739244171005467
2017-05,29.0,25.893832470178868,-0.4349990811333169,3.5411666109544484
2017-06,34.0,25.874011259381398,1.6851175348680372,6.440871205750568
2017-07,19.0,25.884971243971506,-1.0799906367170204,-5.804980607254485
2017-08,27.0,25.89010240213134,-0.3339608124565009,1.4438584103251593
2017-09,38.0,25.832958063374175,8.015822181948232,4.151219754677594
2017-10,29.0,25.651162804943237,5.875423776581377,-2.526586581524615
2017-11,29.0,25.32077848001235,4.815302283299694,-1.1360807633120444
2017-12,34.0,24.888291315678384,4.621219732242388,4.490488952079229
2018-01,25.0,24.433486920613802,2.4883696279265495,-1.921856548540351
2018-02,19.0,24.004405871516227,-8.841238933169397,3.83683306165317
2018-03,10.0,23.634475383130187,-13.559257419378199,-0.07521796375198875
2018-04,20.0,23.352521991092228,-2.7925601435957117,-0.5599618474965169
2018-05,20.0,23.141084124530913,-1.3808482428096274,-1.760235881721286
2018-06,21.0,22.97820112750609,1.692274240366355,-3.670475367872445
2018-07,26.0,22.882884102808397,1.8867393786029258,1.2303765185886775
2018-08,17.0,22.846207135047738,0.6094410117740497,-6.455648146821787
2018-09,22.0,22.837129071294015,4.925801438802202,-5.7629305100962185
2018-10,34.0,22.88133298376094,5.192474492789331,5.926192523449728
2018-11,29.0,23.01226373738064,5.8505213125305495,0.13721495008881135
2018-12,24.0,23.23352668113966,2.129220082409731,-1.3627467635493922
2019-01,32.0,23.54153441692733,0.8507923374737597,7.60767324559891
2019-02,16.0,23.88733553415942,-5.628406684141771,-2.2589288500176465
2019-03,9.0,24.203927326614906,-13.650470492266527,-1.5534568343483777
2019-04,27.0,24.44425952220371,-1.3816072440738316,3.937347721870122
2019-05,22.0,24.604461947666294,-2.5946539863936184,-0.009807961272677801
2019-06,19.0,24.68294983591191,1.4141298882775681,-7.097079724189477
2019-07,32.0,24.675444048345025,4.822962887144239,2.501593064510736
2019-08,29.0,24.625854615418003,1.3279272524492494,3.046218132132747
2019-09,28.0,24.585205699822584,1.570564142763656,1.844230157413758
2019-10,33.0,24.550934383061435,4.701123437530401,3.747942179408163
2019-11,30.0,24.517628235298766,7.004557731314643,-1.5221859666134065
2019-12,20.0,24.461908037635816,-0.4750658185630194,-3.986842219072795
2020-01,22.0,24.36000219228065,0.8114740786638046,-3.171476270944453
2020-02,22.0,24.252434168610012,-6.371139275114655,4.118705106504642
2020-03,11.0,24.180170856620112,-11.965761685772422,-1.2144091708476914
2020-04,20.0,24.148496852434366,0.19125443029112676,-4.339751282725494
2020-05,21.0,24.15936165638371,-3.210363070039376,0.051001413655669126
2020-06,31.0,24.247690377040758,2.3866170374807125,4.365692585478531
2020-07,17.0,24.427914730539555,6.620237843476293,-14.048152574015848
2020-08,27.0,24.66788657300237,2.2937474346343927,0.03836599236323579
2020-09,21.0,24.925902834087875,0.6090571384390395,-4.534959972526913
2020-10,24.0,25.15333785505191,1.644076658010872,-2.7974145130627797
2020-11,38.0,25.348114519578736,6.911218815956512,5.740666664464751
2020-12,24.0,25.538821401007095,-1.3693764837653761,-0.1694449172417194
2021-01,26.0,25.73504982140229,-0.43579537314131006,0.700745551739022
2021-02,18.0,25.91736792305759,-6.523565663871121,-1.3938022591864687
2021-03,18.0,26.09292698094978,-9.985048119296907,1.8921211383471253
2021-04,30.0,26.281229337898814,0.23775893648859373,3.4810117256125928
2021-05,21.0,26.455861718214994,-2.554973040412647,-2.900888677802346
2021-06,32.0,26.577711462140442,4.426564589883322,0.9957239479762379
