period,count,ma_3m,ma_12m,yoy_pct_change,volatility
2016-01,39,39.0,39.0,,
2016-02,13,26.0,26.0,,18.384776310850235
2016-03,16,22.666666666666668,22.666666666666668,,14.224392195567912
2016-04,24,17.666666666666668,23.0,,5.6862407030773285
2016-05,27,22.333333333333332,23.8,,5.6862407030773285
2016-06,29,26.666666666666668,24.666666666666668,,2.516611478423587
2016-07,25,27.0,24.714285714285715,,2.000000000000004
2016-08,26,26.666666666666668,24.875,,2.081665999466137
2016-09,37,29.333333333333332,26.22222222222222,,6.658328118479395
2016-10,32,31.666666666666668,26.8,,5.507570547286105
2016-11,31,33.333333333333336,27.181818181818183,,3.2145502536643233
2016-12,32,31.666666666666668,27.583333333333332,,0.5773502691896649
2017-01,23,28.666666666666668,26.25,-41.02564102564102,4.932882862316252
2017-02,32,29.0,27.833333333333332,146.15384615384616,5.196152422706637
2017-03,31,28.666666666666668,29.083333333333332,93.75,4.932882862316252
2017-04,20,27.666666666666668,28.75,-16.666666666666664,6.658328118479397
2017-05,29,26.666666666666668,28.916666666666668,7.407407407407418,5.85946527708232
2017-06,34,27.666666666666668,29.333333333333332,17.24137931034482,7.094598884597591
2017-07,19,27.333333333333332,28.833333333333332,-24.0,7.637626158259736
2017-08,27,26.666666666666668,28.916666666666668,3.8461538461538547,7.505553499465138
2017-09,38,28.0,29.0,2.7027027027026973,9.539392014169458
2017-10,29,31.333333333333332,28.75,-9.375,5.859465277082318
2017-11,29,32.0,28.583333333333332,-6.451612903225811,5.196152422706636
2017-12,34,30.666666666666668,28.75,6.25,2.886751345948128
2018-01,25,29.333333333333332,28.916666666666668,8.695652173913038,4.509249752822893
2018-02,19,26.0,27.833333333333332,-40.625,7.549834435270749
2018-03,10,18.0,26.083333333333332,-67.74193548387098,7.549834435270749
2018-04,20,16.333333333333332,26.083333333333332,0.0,5.507570547286101
2018-05,20,16.666666666666668,25.333333333333332,-31.034482758620683,5.773502691896257
2018-06,21,20.333333333333332,24.25,-38.23529411764706,0.5773502691896263
2018-07,26,22.333333333333332,24.833333333333332,36.8421052631579,3.214550253664319
2018-08,17,21.333333333333332,24.0,-37.03703703703704,4.509249752822894
2018-09,22,21.666666666666668,22.666666666666668,-42.10526315789473,4.509249752822894
2018-10,34,24.333333333333332,23.083333333333332,17.24137931034482,8.736894948054106
2018-11,29,28.333333333333332,23.083333333333332,0.0,6.027713773341709
2018-12,24,29.0,22.25,-29.411764705882348,5.000000000000002
2019-01,32,28.333333333333332,22.833333333333332,28.000000000000004,4.041451884327383
2019-02,16,24.0,22.583333333333332,-15.789473684210531,8.000000000000002
2019-03,9,19.0,22.5,-9.999999999999998,11.789826122551597
2019-04,27,17.333333333333332,23.083333333333332,35.00000000000001,9.073771725877469
2019-05,22,19.333333333333332,23.25,10.000000000000009,9.291573243177572
2019-06,19,22.666666666666668,23.083333333333332,-9.523809523809524,4.041451884327386
2019-07,32,24.333333333333332,23.583333333333332,23.076923076923084,6.80685928555405
2019-08,29,26.666666666666668,24.583333333333332,70.58823529411764,6.80685928555405
2019-09,28,29.666666666666668,25.083333333333332,27.27272727272727,2.081665999466145
2019-10,33,30.0,25.0,-2.941176470588236,2.6457513110646005
2019-11,30,30.333333333333332,25.083333333333332,3.4482758620689724,2.516611478423594
2019-12,20,27.666666666666668,24.75,-16.666666666666664,6.806859285554051
2020-01,22,24.0,23.916666666666668,-31.25,5.291502622129188
2020-02,22,21.333333333333332,24.416666666666668,37.5,1.1547005383792825
2020-03,11,18.333333333333332,24.583333333333332,22.222222222222232,6.350852961085883
2020-04,20,17.666666666666668,24.0,-25.92592592592593,5.859465277082315
2020-05,21,17.333333333333332,23.916666666666668,-4.545454545454541,5.507570547286101
2020-06,31,24.0,24.916666666666668,63.1578947368421,6.082762530298214
2020-07,17,23.0,23.666666666666668,-46.875,7.211102550927975
2020-08,27,25.0,23.5,-6.896551724137934,7.211102550927973
2020-09,21,21.666666666666668,22.916666666666668,-25.0,5.033222956847163
2020-10,24,24.0,22.166666666666668,-27.27272727272727,2.999999999999988
2020-11,38,27.666666666666668,22.833333333333332,26.66666666666666,9.073771725877458
2020-12,24,28.666666666666668,23.166666666666668,19.999999999999996,8.082903768654752
2021-01,26,29.333333333333332,23.5,18.181818181818187,7.571877794400354
2021-02,18,22.666666666666668,23.166666666666668,-18.181818181818176,4.163331998932258
2021-03,18,20.666666666666668,23.75,63.63636363636365,4.618802153517003
2021-04,30,22.0,24.583333333333332,50.0,6.928203230275509
2021-05,21,23.0,24.583333333333332,0.0,6.244997998398398
2021-06,32,27.666666666666668,24.666666666666668,3.2258064516129004,5.859465277082315
2021-07,32,28.333333333333332,25.916666666666668,88.23529411764706,6.350852961085883
2021-08,30,31.333333333333332,26.166666666666668,11.111111111111116,1.154700538379251
2021-09,28,30.0,26.75,33.33333333333333,1.9999999999999996
2021-10,24,27.333333333333332,26.75,0.0,3.0550504633038926
2021-11,33,28.333333333333332,26.333333333333332,-13.157894736842103,4.509249752822893
2021-12,27,28.0,26.583333333333332,12.5,4.58257569495584
2022-01,27,29.0,26.666666666666668,3.8461538461538547,3.464101615137754
2022-02,16,23.333333333333332,26.5,-11.111111111111116,6.350852961085883
2022-03,18,20.333333333333332,26.5,0.0,5.859465277082315
2022-04,27,20.333333333333332,26.25,-9.999999999999998,5.859465277082315
2022-05,32,25.666666666666668,27.166666666666668,52.38095238095237,7.094598884597587
2022-06,25,28.0,26.583333333333332,-21.875,3.6055512754639865
2022-07,37,31.333333333333332,27.0,15.625,6.0277137733417065
2022-08,25,29.0,26.583333333333332,-16.666666666666664,6.928203230275508
2022-09,29,30.333333333333332,26.666666666666668,3.571428571428581,6.110100926607785
2022-10,19,24.333333333333332,26.25,-20.833333333333336,5.033222956847164
2022-11,26,24.666666666666668,25.666666666666668,-21.212121212121215,5.1316014394468805
2022-12,24,23.0,25.416666666666668,-11.111111111111116,3.6055512754639847
2023-01,16,22.0,24.5,-40.74074074074075,5.291502622129178
2023-02,22,20.666666666666668,25.0,37.5,4.163331998932262
2023-03,18,18.666666666666668,25.0,0.0,3.0550504633038886
2023-04,21,20.333333333333332,24.5,-22.22222222222222,2.081665999466125
2023-05,21,20.0,23.583333333333332,-34.375,1.7320508075688679
2023-06,35,25.666666666666668,24.416666666666668,39.99999999999999,8.082903768654761
2023-07,19,25.0,22.916666666666668,-48.64864864864865,8.717797887081348
2023-08,26,26.666666666666668,23.0,4.0000000000000036,8.020806277010642
2023-09,17,20.666666666666668,22.0,-41.379310344827594,4.725815626252609
2023-10,19,20.666666666666668,22.0,0.0,4.725815626252609
2023-11,29,21.666666666666668,22.25,11.538461538461542,6.429100507328637
2023-12,31,26.333333333333332,22.833333333333332,29.166666666666675,6.429100507328637
2024-01,25,28.333333333333332,23.583333333333332,56.25,3.055050463303894
2024-02,25,27.0,23.833333333333332,13.636363636363647,3.4641016151377553
2024-03,9,19.666666666666668,23.083333333333332,-50.0,9.237604307034013
2024-04,22,18.666666666666668,23.166666666666668,4.761904761904767,8.504900548115383
2024-05,28,19.666666666666668,23.75,33.33333333333333,9.71253485622231
2024-06,35,28.333333333333332,23.75,0.0,6.5064070986477125
2024-07,36,33.0,25.166666666666668,89.4736842105263,4.358898943540675
2024-08,16,29.0,24.333333333333332,-38.46153846153846,11.269427669584646
2024-09,24,25.333333333333332,24.916666666666668,41.176470588235304,10.066445913694334
2024-10,35,25.0,26.25,84.21052631578947,9.539392014169456
2024-11,32,30.333333333333332,26.5,10.344827586206895,5.686240703077327
2024-12,21,29.333333333333332,25.666666666666668,-32.25806451612904,7.371114795831994
2025-01,28,27.0,25.916666666666668,12.00000000000001,5.5677643628300215
2025-02,25,24.666666666666668,25.916666666666668,0.0,3.5118845842842457
2025-03,14,22.333333333333332,26.333333333333332,55.55555555555556,7.371114795831993
2025-04,23,20.666666666666668,26.416666666666668,4.545454545454541,5.859465277082314
2025-05,20,19.0,25.75,-28.57142857142857,4.582575694955838
2025-06,27,23.333333333333332,25.083333333333332,-22.857142857142854,3.5118845842842448
2025-07,23,23.333333333333332,24.0,-36.111111111111114,3.5118845842842448
2025-08,32,27.333333333333332,25.333333333333332,100.0,4.509249752822893
2025-09,40,31.666666666666668,26.666666666666668,66.66666666666667,8.504900548115382
2025-10,28,33.333333333333336,26.083333333333332,-19.999999999999996,6.110100926607786
2025-11,27,31.666666666666668,25.666666666666668,-15.625,7.234178138070234
2025-12,15,23.333333333333332,25.166666666666668,-28.57142857142857,7.234178138070234
2026-01,16,19.333333333333332,24.166666666666668,-42.85714285714286,6.658328118479392
2026-02,15,15.333333333333334,23.333333333333332,-40.0,0.5773502691896006
2026-03,12,14.333333333333334,23.166666666666668,-14.28571428571429,2.081665999466125
2026-04,17,14.666666666666666,22.666666666666668,-26.086956521739136,2.516611478423577
